match week,date,home team name,away team name,home final score,away final score,home goal times,away goal times
1,160813,Hull City,Leicester City,2,1,"['45', '57']",['47']
1,160813,Burnley FC,Swansea City,0,1,[],['82']
1,160813,Crystal Palace,West Bromwich Albion,0,1,[],['74']
1,160813,Everton FC,Tottenham Hotspur,1,1,['5'],['59']
1,160813,Middlesbrough FC,Stoke City,1,1,['11'],['67']
1,160813,Southampton FC,Watford FC,1,1,['58'],['9']
1,160813,Manchester City,Sunderland AFC,2,1,"['4', '87']",['71']
1,160814,AFC Bournemouth,Manchester United,1,3,['69'],"['40', '59', '64']"
1,160814,Arsenal FC,Liverpool FC,3,4,"['31', '64', '75']","['45', '49', '56', '63']"
1,160815,Chelsea FC,West Ham United,2,1,"['47', '89']",['77']
2,160819,Manchester United,Southampton FC,2,0,"['36', '52']",[]
2,160820,Stoke City,Manchester City,1,4,['49'],"['27', '36', '86', '90']"
2,160820,Burnley FC,Liverpool FC,2,0,"['2', '37']",[]
2,160820,Swansea City,Hull City,0,2,[],"['79', '90']"
2,160820,Tottenham Hotspur,Crystal Palace,1,0,['82'],[]
2,160820,Watford FC,Chelsea FC,1,2,['55'],"['80', '87']"
2,160820,West Bromwich Albion,Everton FC,1,2,['9'],"['45', '60']"
2,160820,Leicester City,Arsenal FC,0,0,[],[]
2,160821,Sunderland AFC,Middlesbrough FC,1,2,['71'],"['13', '45']"
2,160821,West Ham United,AFC Bournemouth,1,0,['85'],[]
3,160827,Tottenham Hotspur,Liverpool FC,1,1,['72'],['43']
3,160827,Chelsea FC,Burnley FC,3,0,"['9', '41', '89']",[]
3,160827,Crystal Palace,AFC Bournemouth,1,1,['90'],['11']
3,160827,Everton FC,Stoke City,1,0,['51'],[]
3,160827,Leicester City,Swansea City,2,1,"['32', '52']",['80']
3,160827,Southampton FC,Sunderland AFC,1,1,['85'],['80']
3,160827,Watford FC,Arsenal FC,1,3,['57'],"['9', '40', '45']"
3,160827,Hull City,Manchester United,0,1,[],['90']
3,160828,West Bromwich Albion,Middlesbrough FC,0,0,[],[]
3,160828,Manchester City,West Ham United,3,1,"['7', '18', '90']",['58']
4,160910,Manchester United,Manchester City,1,2,['42'],"['15', '36']"
4,160910,AFC Bournemouth,West Bromwich Albion,1,0,['79'],[]
